City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,71.94,light rain,-23.1203,-134.9692,People ThankYou
2,Kapaa,US,79.12,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
6,Kununurra,AU,69.8,overcast clouds,-15.7667,128.7333,Hotel Kununurra
9,Saint-Augustin,CA,72.79,scattered clouds,51.226,-58.6502,
10,Aguimes,ES,77.63,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
12,Isangel,VU,69.91,overcast clouds,-19.55,169.2667,Tanna Lodge
13,Akcakoca,TR,77.76,clear sky,41.0866,31.1162,Turkuaz Beach Otel
14,Kamaishi,JP,75.81,few clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
20,Altay,CN,69.33,overcast clouds,47.8667,88.1167,Jinqiao Hotel
22,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
24,Bonthe,SL,79.2,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
25,Ribeira Grande,PT,75.6,few clouds,38.5167,-28.7,Quinta da Meia Eira
26,Jamestown,US,77.95,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
37,Huarmey,PE,66.25,broken clouds,-10.0681,-78.1522,Hotel Miramar
43,Saint-Philippe,RE,71.19,light rain,-21.3585,55.7679,Le four à pain
46,Carnarvon,AU,69.49,light rain,-24.8667,113.6333,Hospitality Carnarvon
50,Souillac,MU,70.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
52,Stokmarknes,NO,69.78,clear sky,68.5646,14.9108,Vesterålen Kysthotell
53,Albany,US,79.57,broken clouds,42.6001,-73.9662,
54,Paita,PE,68.4,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
55,Bria,CF,70.86,moderate rain,6.5423,21.9863,WFP Guesthouse
58,Atuona,PF,75.69,light rain,-9.8,-139.0333,Villa Enata
59,Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
60,Lagoa,PT,72.97,clear sky,39.05,-27.9833,Casa Das Faias
61,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
62,Karratha,AU,70.39,moderate rain,-20.7377,116.8463,ibis Styles Karratha
68,Ust-Kuyga,RU,65.16,overcast clouds,70.0167,135.6,
70,Jawhar,SO,77.07,few clouds,2.7809,45.5005,Hotel Shabelle
72,Sao Filipe,CV,76.87,overcast clouds,14.8961,-24.4956,Hotel Xaguate
76,Lompoc,US,70.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
80,Mahebourg,MU,71.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
82,Iskateley,RU,70.03,broken clouds,67.6803,53.1512,Hostel Agat
86,Bubaque,GW,79.57,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
87,Galle,LK,79.21,light rain,6.0367,80.217,Amangalla
93,Kutum,SD,79.84,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
97,Bassano,CA,69.64,scattered clouds,50.7834,-112.4685,Imperial Hunter Hotel
99,Aguas Formosas,BR,70.21,overcast clouds,-17.0822,-40.9358,HOTEL HAVAY PALACE
103,Arraial Do Cabo,BR,73.26,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
104,Bantou,CN,79.21,broken clouds,26.2151,117.4893,
111,Ntungamo,UG,69.42,light rain,-0.8833,29.65,The Crested Crane Bwindi Hotel
113,Vanimo,PG,78.58,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
115,Vila Franca Do Campo,PT,73.81,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
117,Nikolskoye,RU,70.88,broken clouds,59.7035,30.7861,Tourist House - Sablino
120,Tlacotepec,MX,71.55,few clouds,20.0667,-97.8667,RANCHO LA ILUSION
121,Hambantota,LK,77.34,moderate rain,6.1241,81.1185,Bungalow 63
124,Grand Gaube,MU,71.38,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
128,Pangai,TO,77.54,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
130,Kaminskiy,RU,68.31,scattered clouds,57.1516,41.4732,
133,Carapegua,PY,73.67,clear sky,-25.8,-57.2333,Maria Celia La Posada
136,Zhigansk,RU,65.48,light rain,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
137,Vaitape,PF,78.3,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
138,Tautira,PF,77.07,broken clouds,-17.7333,-149.15,Pension Oaoa
139,Alyangula,AU,69.1,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
140,Faya,SA,71.71,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
143,Tokat,TR,68.27,clear sky,40.4167,36.5833,
147,Eyl,SO,76.91,few clouds,7.9803,49.8164,Amiin Hotel
150,Los Llanos De Aridane,ES,75.13,broken clouds,28.6585,-17.9182,Valle Aridane
151,Hilo,US,74.93,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
152,Ghanzi,BW,72.48,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
154,Hithadhoo,MV,78.44,light rain,-0.6,73.0833,Scoop Guest House
162,Luwuk,ID,76.6,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
167,Pierre,US,79.72,clear sky,44.3683,-100.351,Ramkota Hotel
