City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lalmohan,BD,22.3384,90.7419,84.9,76,100,9.62,overcast clouds
1,Rikitea,PF,-23.1203,-134.9692,71.94,74,100,17.96,light rain
2,Kapaa,US,22.0752,-159.319,79.12,83,75,14.97,broken clouds
3,Sayyan,YE,15.1718,44.3244,63.43,68,96,5.26,overcast clouds
4,Mataura,NZ,-46.1927,168.8643,34.48,97,52,3.06,broken clouds
5,Nouakchott,MR,18.0858,-15.9785,87.73,73,21,13.91,few clouds
6,Kununurra,AU,-15.7667,128.7333,69.8,25,100,4.47,overcast clouds
7,New Norfolk,AU,-42.7826,147.0587,50.72,74,100,1.99,light rain
8,Chuy,UY,-33.6971,-53.4616,58.17,59,75,3.8,broken clouds
9,Saint-Augustin,CA,51.226,-58.6502,72.79,60,45,15.93,scattered clouds
10,Aguimes,ES,27.9054,-15.4461,77.63,65,20,31.07,few clouds
11,Athens,GR,37.9795,23.7162,95.67,39,20,11.99,few clouds
12,Isangel,VU,-19.55,169.2667,69.91,88,93,3.44,overcast clouds
13,Akcakoca,TR,41.0866,31.1162,77.76,80,8,7.09,clear sky
14,Kamaishi,JP,39.2667,141.8833,75.81,82,23,4.5,few clouds
15,Georgetown,MY,5.4112,100.3354,84.13,86,20,2.3,few clouds
16,Mar Del Plata,AR,-38.0023,-57.5575,53.62,87,100,8.95,overcast clouds
17,Bredasdorp,ZA,-34.5322,20.0403,49.26,65,5,4.88,clear sky
18,Punta Arenas,CL,-53.15,-70.9167,41.11,81,75,6.91,broken clouds
19,Butaritari,KI,3.0707,172.7902,81.64,71,30,16.46,scattered clouds
20,Altay,CN,47.8667,88.1167,69.33,36,86,5.75,overcast clouds
21,Katsuura,JP,35.1333,140.3,80.2,89,88,12.06,overcast clouds
22,Vaini,TO,-21.2,-175.2,75.36,94,75,6.91,broken clouds
23,Orlik,RU,52.5178,99.825,55.36,78,46,1.52,scattered clouds
24,Bonthe,SL,7.5264,-12.505,79.2,70,90,11.59,overcast clouds
25,Ribeira Grande,PT,38.5167,-28.7,75.6,78,20,4.61,few clouds
26,Jamestown,US,42.097,-79.2353,77.95,56,0,3.0,clear sky
27,Geraldton,AU,-28.7667,114.6,61.45,51,100,6.11,light rain
28,Nagua,DO,19.3832,-69.8474,88.11,83,75,6.91,broken clouds
29,Bathsheba,BB,13.2167,-59.5167,86.61,83,40,24.16,scattered clouds
30,Lebyazhye,RU,55.2689,66.4947,64.62,81,7,6.76,clear sky
31,Port Alfred,ZA,-33.5906,26.891,56.17,72,25,4.0,scattered clouds
32,Esperance,AU,-33.8667,121.9,52.66,64,52,12.41,broken clouds
33,Talnakh,RU,69.4865,88.3972,49.21,64,10,17.09,clear sky
34,Anchorage,US,61.2181,-149.9003,57.97,92,100,5.75,light rain
35,Port Elizabeth,ZA,-33.918,25.5701,57.49,71,20,17.27,few clouds
36,Khatanga,RU,71.9667,102.5,45.43,72,99,10.6,overcast clouds
37,Huarmey,PE,-10.0681,-78.1522,66.25,74,60,8.48,broken clouds
38,Ushuaia,AR,-54.8,-68.3,38.86,81,75,11.5,broken clouds
39,Ostrovnoy,RU,68.0531,39.5131,63.66,66,100,11.25,overcast clouds
40,Tasiilaq,GL,65.6145,-37.6368,50.16,59,69,5.06,broken clouds
41,Mao,ES,39.8885,4.2658,88.36,37,20,12.66,few clouds
42,Thompson,CA,55.7435,-97.8558,64.56,52,20,8.05,few clouds
43,Saint-Philippe,RE,-21.3585,55.7679,71.19,82,48,14.94,light rain
44,Agnibilekrou,CI,7.1344,-3.2047,82.11,63,99,3.8,light rain
45,Marabba,SD,12.35,32.1833,82.58,61,92,11.34,overcast clouds
46,Carnarvon,AU,-24.8667,113.6333,69.49,49,100,7.49,light rain
47,Saskylakh,RU,71.9167,114.0833,44.17,85,100,12.62,overcast clouds
48,Hermanus,ZA,-34.4187,19.2345,52.92,61,6,4.52,clear sky
49,Aripuana,BR,-9.1667,-60.6333,95.18,24,10,2.91,clear sky
50,Souillac,MU,-20.5167,57.5167,70.18,73,40,13.8,scattered clouds
51,Lazaro Cardenas,MX,17.9583,-102.2,85.37,63,84,1.61,broken clouds
52,Stokmarknes,NO,68.5646,14.9108,69.78,49,0,3.44,clear sky
53,Albany,US,42.6001,-73.9662,79.57,55,51,1.03,broken clouds
54,Paita,PE,-5.0892,-81.1144,68.4,70,17,10.6,few clouds
55,Bria,CF,6.5423,21.9863,70.86,96,99,5.86,moderate rain
56,Port Augusta,AU,-32.5,137.7667,44.37,79,0,3.91,clear sky
57,Hobart,AU,-42.8794,147.3294,50.25,71,100,1.99,overcast clouds
58,Atuona,PF,-9.8,-139.0333,75.69,80,25,10.69,light rain
59,Avarua,CK,-21.2078,-159.775,73.45,73,75,8.05,broken clouds
60,Lagoa,PT,39.05,-27.9833,72.97,71,1,4.61,clear sky
61,Puerto Ayora,EC,-0.7393,-90.3518,75.16,91,98,1.99,overcast clouds
62,Karratha,AU,-20.7377,116.8463,70.39,66,17,3.67,moderate rain
63,Asmara,ER,15.3333,38.9333,63.23,76,86,7.07,overcast clouds
64,Kavieng,PG,-2.5744,150.7967,81.7,78,92,18.68,light rain
65,Yellowknife,CA,62.456,-114.3525,59.56,63,20,2.3,few clouds
66,Drinovci,BA,43.355,17.3539,86.63,29,26,12.33,scattered clouds
67,Wanaka,NZ,-44.7,169.15,29.17,80,3,4.63,clear sky
68,Ust-Kuyga,RU,70.0167,135.6,65.16,86,100,5.53,overcast clouds
69,Vestmannaeyjar,IS,63.4427,-20.2734,54.59,71,40,18.41,scattered clouds
70,Jawhar,SO,2.7809,45.5005,77.07,68,16,15.82,few clouds
71,Bethel,US,41.3712,-73.414,82.89,55,0,3.44,clear sky
72,Sao Filipe,CV,14.8961,-24.4956,76.87,78,100,7.87,overcast clouds
73,Almaznyy,RU,48.0448,40.045,84.18,32,43,10.25,scattered clouds
74,Sitka,US,57.0531,-135.33,58.89,94,100,0.0,mist
75,Hasaki,JP,35.7333,140.8333,82.8,84,86,7.94,overcast clouds
76,Lompoc,US,34.6391,-120.4579,70.02,86,0,3.0,clear sky
77,Kaitangata,NZ,-46.2817,169.8464,41.5,90,69,8.23,broken clouds
78,Tukrah,LY,32.5341,20.5791,83.57,68,0,10.49,clear sky
79,Senj,HR,44.9894,14.9058,86.67,49,79,2.46,broken clouds
80,Mahebourg,MU,-20.4081,57.7,71.26,73,40,13.8,scattered clouds
81,Upernavik,GL,72.7868,-56.1549,49.51,65,50,6.73,scattered clouds
82,Iskateley,RU,67.6803,53.1512,70.03,56,55,13.71,broken clouds
83,Aasiaat,GL,68.7098,-52.8699,40.89,92,49,11.01,scattered clouds
84,Kabalo,CD,-6.05,26.9167,86.43,39,66,2.06,broken clouds
85,Nanortalik,GL,60.1432,-45.2371,48.92,81,93,8.21,overcast clouds
86,Bubaque,GW,11.2833,-15.8333,79.57,79,10,16.26,clear sky
87,Galle,LK,6.0367,80.217,79.21,85,100,15.64,light rain
88,Bluff,NZ,-46.6,168.3333,45.36,79,33,16.67,scattered clouds
89,Montijo,PT,38.7067,-8.9739,98.02,48,0,12.66,clear sky
90,Cape Town,ZA,-33.9258,18.4232,58.26,63,0,16.11,clear sky
91,Busselton,AU,-33.65,115.3333,57.78,74,86,16.71,overcast clouds
92,Intipuca,SV,13.1969,-88.0544,85.95,52,84,5.26,broken clouds
93,Kutum,SD,14.2,24.6667,79.84,49,46,15.86,scattered clouds
94,Kodiak,US,57.79,-152.4072,53.11,94,100,3.44,overcast clouds
95,Ponta Do Sol,PT,32.6667,-17.1,84.7,64,0,3.33,clear sky
96,Qasigiannguit,GL,68.8193,-51.1922,55.65,69,46,4.76,scattered clouds
97,Bassano,CA,50.7834,-112.4685,69.64,58,31,8.32,scattered clouds
98,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,52.39,100,100,4.47,light intensity shower rain
99,Aguas Formosas,BR,-17.0822,-40.9358,70.21,86,100,2.89,overcast clouds
100,Manaure,CO,11.7751,-72.4445,89.76,51,29,26.13,scattered clouds
101,Beringovskiy,RU,63.05,179.3167,48.51,74,95,2.86,overcast clouds
102,Oranjestad,AW,12.524,-70.027,87.75,66,20,26.46,few clouds
103,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,49,75,8.05,broken clouds
104,Bantou,CN,26.2151,117.4893,79.21,78,54,2.13,broken clouds
105,Vostok,RU,46.4856,135.8833,64.04,95,99,3.06,overcast clouds
106,Barcelos,PT,41.5388,-8.6151,100.92,31,4,10.25,clear sky
107,Pevek,RU,69.7008,170.3133,45.55,67,4,8.81,clear sky
108,Luderitz,NA,-26.6481,15.1594,60.26,54,0,26.55,clear sky
109,Porto Torres,IT,40.835,8.3972,87.98,50,0,10.65,clear sky
110,Cockburn Town,TC,21.4612,-71.1419,85.96,70,40,16.11,scattered clouds
111,Ntungamo,UG,-0.8833,29.65,69.42,79,58,0.6,light rain
112,Lebu,CL,-37.6167,-73.65,51.24,74,32,3.89,scattered clouds
113,Vanimo,PG,-2.6741,141.3028,78.58,86,34,5.77,scattered clouds
114,Victoria,HK,22.2855,114.1577,88.32,80,1,8.01,clear sky
115,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,66,68,3.44,broken clouds
116,Rancho Veloz,CU,22.8806,-80.3917,85.71,67,22,15.73,few clouds
117,Nikolskoye,RU,59.7035,30.7861,70.88,50,69,3.85,broken clouds
118,Itapirapua,BR,-15.8233,-50.6133,94.66,16,2,4.99,clear sky
119,Saldanha,ZA,-33.0117,17.9442,57.25,62,1,18.88,clear sky
120,Tlacotepec,MX,20.0667,-97.8667,71.55,61,12,5.55,few clouds
121,Hambantota,LK,6.1241,81.1185,77.34,100,40,10.36,moderate rain
122,Lavrentiya,RU,65.5833,-171.0,42.13,88,42,2.71,scattered clouds
123,Tiksi,RU,71.6872,128.8694,46.36,78,96,13.8,overcast clouds
124,Grand Gaube,MU,-20.0064,57.6608,71.38,70,18,5.01,few clouds
125,Barrow,US,71.2906,-156.7887,37.36,90,66,6.4,broken clouds
126,Mount Gambier,AU,-37.8333,140.7667,44.1,91,48,7.16,scattered clouds
127,Dunedin,NZ,-45.8742,170.5036,44.8,74,48,4.0,scattered clouds
128,Pangai,TO,-19.8,-174.35,77.54,83,100,13.4,overcast clouds
129,Egvekinot,RU,66.3167,-179.1667,47.8,59,100,2.08,overcast clouds
130,Kaminskiy,RU,57.1516,41.4732,68.31,46,32,6.76,scattered clouds
131,Palmer,US,42.1584,-72.3287,83.64,57,27,1.01,scattered clouds
132,Arona,ES,28.0996,-16.681,81.01,61,20,21.85,few clouds
133,Carapegua,PY,-25.8,-57.2333,73.67,31,5,3.89,clear sky
134,Qaanaaq,GL,77.484,-69.3632,44.98,58,6,3.33,clear sky
135,Verkhnevilyuysk,RU,63.4453,120.3167,62.55,89,77,4.52,broken clouds
136,Zhigansk,RU,66.7697,123.3711,65.48,75,99,8.59,light rain
137,Vaitape,PF,-16.5167,-151.75,78.3,71,1,24.83,clear sky
138,Tautira,PF,-17.7333,-149.15,77.07,70,81,26.89,broken clouds
139,Alyangula,AU,-13.8483,136.4192,69.1,84,96,5.5,overcast clouds
140,Faya,SA,18.3851,42.4509,71.71,80,72,8.5,broken clouds
141,Road Town,VG,18.4167,-64.6167,89.69,79,40,13.8,scattered clouds
