City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Husavik,IS,2022-07-20 20:25:13,66.0449,-17.3389,46.04,87,100,7.0
1,Ancud,CL,2022-07-20 20:25:40,-41.8697,-73.8203,41.23,64,87,14.81
2,Touros,BR,2022-07-20 20:27:55,-5.1989,-35.4608,77.16,78,98,13.73
3,Hit,IQ,2022-07-20 20:27:56,33.6416,42.8251,99.01,14,0,11.18
4,Hilo,US,2022-07-20 20:24:59,19.7297,-155.09,83.28,90,100,6.91
5,Khatanga,RU,2022-07-20 20:26:40,71.9667,102.5,45.64,65,100,21.32
6,Tuatapere,NZ,2022-07-20 20:27:56,-46.1333,167.6833,42.49,83,100,1.97
7,Georgetown,MY,2022-07-20 20:25:49,5.4112,100.3354,80.89,92,20,4.61
8,Punta Arenas,CL,2022-07-20 20:23:16,-53.15,-70.9167,35.62,80,75,24.16
9,Vaini,TO,2022-07-20 20:27:57,-21.2,-175.2,73.56,88,20,8.05
10,Souillac,MU,2022-07-20 20:27:57,-20.5167,57.5167,68.38,73,75,12.66
11,Broome,US,2022-07-20 20:27:57,42.2506,-75.833,94.6,51,3,5.01
12,Butaritari,KI,2022-07-20 20:24:23,3.0707,172.7902,81.28,79,45,9.66
13,Amapa,BR,2022-07-20 20:27:58,1.0,-52.0,78.48,94,62,4.12
14,Puerto Madero,MX,2022-07-20 20:27:58,14.7208,-92.4215,89.8,74,75,8.05
15,Villa Carlos Paz,AR,2022-07-20 20:27:58,-31.4241,-64.4978,74.39,49,21,15.99
16,Ushuaia,AR,2022-07-20 20:27:59,-54.8,-68.3,33.42,93,100,21.85
17,Port Alfred,ZA,2022-07-20 20:27:59,-33.5906,26.891,56.17,97,100,1.01
18,Bluff,NZ,2022-07-20 20:27:59,-46.6,168.3333,39.79,65,100,7.16
19,Kodiak,US,2022-07-20 20:28:00,57.79,-152.4072,54.91,76,0,5.75
20,Pangnirtung,CA,2022-07-20 20:28:00,66.1451,-65.7125,50.0,81,100,8.05
21,Puerto Ayora,EC,2022-07-20 20:25:41,-0.7393,-90.3518,80.56,98,88,7.0
22,Paamiut,GL,2022-07-20 20:28:00,61.994,-49.6678,49.55,85,79,17.54
23,Busselton,AU,2022-07-20 20:26:30,-33.65,115.3333,55.51,95,100,15.79
24,Rikitea,PF,2022-07-20 20:28:01,-23.1203,-134.9692,73.36,75,0,2.04
25,Mataura,NZ,2022-07-20 20:28:01,-46.1927,168.8643,39.47,92,100,1.95
26,Maraa,BR,2022-07-20 20:26:51,-1.8333,-65.3667,81.09,87,54,2.33
27,Pag,HR,2022-07-20 20:28:02,44.445,15.0575,75.78,53,0,6.89
28,Puerto Penasco,MX,2022-07-20 20:23:13,31.3167,-113.5333,87.91,71,100,14.0
29,Thompson,CA,2022-07-20 20:28:02,55.7435,-97.8558,75.36,50,75,19.57
30,Flin Flon,CA,2022-07-20 20:28:02,54.7682,-101.865,67.84,64,75,8.05
31,Margate,GB,2022-07-20 20:23:25,51.3813,1.3862,71.87,70,31,4.0
32,Cockburn Town,TC,2022-07-20 20:25:25,21.4612,-71.1419,82.29,76,0,19.75
33,Kottagudem,IN,2022-07-20 20:28:03,17.55,80.6333,79.14,86,100,1.86
34,Goderich,CA,2022-07-20 20:28:03,43.7501,-81.7165,82.72,61,100,17.27
35,Gat,IL,2022-07-20 20:28:02,31.61,34.7642,80.82,100,0,5.5
36,Bac Lieu,VN,2022-07-20 20:28:04,9.285,105.7244,79.45,84,100,10.51
37,Vestmannaeyjar,IS,2022-07-20 20:28:04,63.4427,-20.2734,55.42,76,64,14.16
38,Nikolskoye,RU,2022-07-20 20:28:04,59.7035,30.7861,69.87,62,100,10.38
39,Jamestown,US,2022-07-20 20:27:28,42.097,-79.2353,89.19,52,40,17.27
40,Porto Santo,PT,2022-07-20 20:28:05,33.072,-16.3415,71.98,73,75,8.05
41,Coahuayana,MX,2022-07-20 20:28:05,18.7333,-103.6833,95.9,47,77,6.4
42,Komsomolskiy,UZ,2022-07-20 20:28:05,40.4272,71.7189,81.32,34,0,6.91
43,Bredasdorp,ZA,2022-07-20 20:28:06,-34.5322,20.0403,46.6,86,1,5.19
44,Dzhebariki-Khaya,RU,2022-07-20 20:28:06,62.2167,135.8,69.22,74,1,1.9
45,Afzalpur,IN,2022-07-20 20:28:06,17.2,76.35,77.29,80,65,13.85
46,Carnarvon,AU,2022-07-20 20:26:29,-24.8667,113.6333,70.56,78,0,15.64
47,Kulhudhuffushi,MV,2022-07-20 20:28:07,6.6221,73.07,80.71,78,100,17.81
48,Albany,US,2022-07-20 20:28:54,42.6001,-73.9662,96.58,44,46,1.99
49,Tabou,CI,2022-07-20 20:29:07,4.423,-7.3528,75.33,72,99,7.45
50,Palmer,US,2022-07-20 20:29:07,42.1584,-72.3287,96.24,44,58,1.01
51,Sovetskiy,RU,2022-07-20 20:29:08,61.3614,63.5842,60.13,88,100,5.26
52,Anloga,GH,2022-07-20 20:29:08,5.7947,0.8973,75.38,75,30,11.39
53,Cape Town,ZA,2022-07-20 20:26:38,-33.9258,18.4232,53.11,65,0,3.44
54,Benguela,AO,2022-07-20 20:29:08,-12.5763,13.4055,67.01,90,20,0.49
55,Chuy,UY,2022-07-20 20:29:09,-33.6971,-53.4616,59.27,88,0,7.58
56,Iqaluit,CA,2022-07-20 20:29:09,63.7506,-68.5145,49.73,81,75,3.44
57,Mundo Novo,BR,2022-07-20 20:29:10,-11.8589,-40.4725,67.68,91,98,4.25
58,Srebrenica,BA,2022-07-20 20:29:10,44.1064,19.2969,68.07,51,0,2.91
59,Bar Harbor,US,2022-07-20 20:29:10,44.3876,-68.2039,88.34,45,20,10.36
60,Castro,BR,2022-07-20 20:24:17,-24.7911,-50.0119,67.8,73,3,3.87
61,Upernavik,GL,2022-07-20 20:29:11,72.7868,-56.1549,48.2,70,73,9.91
62,Puerto Colombia,CO,2022-07-20 20:29:11,10.9878,-74.9547,87.89,75,53,18.66
63,Cayenne,GF,2022-07-20 20:26:33,4.9333,-52.3333,86.04,1,40,11.5
64,New Norfolk,AU,2022-07-20 20:29:11,-42.7826,147.0587,34.92,89,5,2.33
65,Hobart,AU,2022-07-20 20:27:06,-42.8794,147.3294,35.06,94,0,8.05
66,Avera,US,2022-07-20 20:29:12,33.194,-82.5271,90.37,56,99,7.09
67,Rocha,UY,2022-07-20 20:29:12,-34.4833,-54.3333,59.63,80,1,9.62
68,Shaoguan,CN,2022-07-20 20:26:58,24.8,113.5833,76.39,93,96,2.24
69,Mogocha,RU,2022-07-20 20:29:12,53.7333,119.7667,57.02,99,30,0.98
70,Geraldton,AU,2022-07-20 20:29:13,-28.7667,114.6,66.61,94,75,20.71
71,Anjar,IN,2022-07-20 20:29:13,23.1333,70.0167,81.57,81,100,17.13
72,Saint-Philippe,RE,2022-07-20 20:29:14,-21.3585,55.7679,67.59,79,42,14.52
73,Cabo San Lucas,MX,2022-07-20 20:27:48,22.8909,-109.9124,97.61,49,20,11.5
74,Marawi,PH,2022-07-20 20:29:14,7.9986,124.2928,69.89,94,49,3.65
75,Boundiali,CI,2022-07-20 20:29:14,9.5217,-6.4869,70.0,97,99,5.57
